 round 96 : target (178,45) 13.6 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 134.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 134.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 97 : target (178,45) 13.2 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 133.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 133.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 98 : target (178,45) 12.8 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 132.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 132.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 99 : target (178,45) 12.4 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 131.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 131.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 100 : target (178,45) 12.0 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 130.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 130.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 101 : target (178,45) 11.6 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 129.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 129.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 102 : target (178,45) 11.2 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 128.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 128.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 103 : target (178,45) 10.8 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 127.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 127.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 104 : target (178,45) 10.4 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 126.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 126.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 105 : target (178,45) 10.0 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 125.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 125.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
